sa2_code21,sa2_name,earners,median_age,median_income,mean_income
119011354,Bass Hill - Georges Hall,10317,41,45954,55796
119011355,Chullora,788,37,55658,67561
119011356,Condell Park,6019,39,45799,56215
119011358,Padstow,9980,43,54688,64516
119011360,Revesby,9646,41,54418,63369
119011361,Yagoona - Birrong,10469,39,45361,53767
119011571,Bankstown - North,8184,37,44021,51688
119011572,Bankstown - South,8714,37,42430,50007
119011655,Greenacre - North,6454,39,43915,56502
119011656,Greenacre - South,5857,39,43470,54796
119011657,Panania (North) - Milperra,6356,42,58901,67642
119011658,Panania (South) - Picnic Point,9244,43,60018,72042
119021362,Belmore - Belfield,10609,41,49248,58792
119021366,Punchbowl,10151,37,42028,50327
119021367,Roselands,7609,42,50265,60724
119021573,Lakemba,7854,37,39413,47030
119021574,Wiley Park,4876,36,39550,46944
119021659,Campsie - North,6662,37,40777,49529
119021660,Campsie - South,4933,36,40490,47315
119021661,Canterbury - South,6781,37,53792,61847
119021662,Earlwood,10448,46,61648,79016
119021663,Kingsgrove - North,3395,43,54653,74170
119031370,Narwee - Beverly Hills,7894,41,49186,60412
119031371,Oatley - Hurstville Grove,8133,47,59174,81853
119031372,Peakhurst - Lugarno,11830,45,57305,73180
119031373,Riverwood,6044,38,44992,52625
119031374,South Hurstville - Blakehurst,16086,40,49928,70961
119031664,Hurstville - Central,8083,32,42753,50823
119031665,Hurstville - North,7502,41,44367,57048
119031666,Mortdale - Oatley,9102,43,59316,79230
119031667,Penshurst,5938,38,51043,59694
119041377,Kingsgrove (South) - Bardwell Park,7729,44,55489,70651
119041378,Kogarah,8111,37,54896,65175
119041379,Kogarah Bay - Carlton - Allawah,9920,41,53147,67006
119041380,Monterey - Brighton-le-Sands - Kyeemagh,8058,44,57331,72785
119041381,Rockdale - Banksia,12777,35,49270,58230
119041382,Sans Souci - Ramsgate,9700,47,59088,76623
119041668,Arncliffe - Bardwell Valley,9403,36,52544,65129
119041669,Bexley - North,5480,42,54146,65034
119041670,Bexley - South,9634,38,50743,60838
119041671,Wolli Creek,7227,32,54732,65236
