SA2_NAME21,SA2_CODE21
Bass Hill - Georges Hall,119011354
Chullora,119011355
Condell Park,119011356
Padstow,119011358
Revesby,119011360
Yagoona - Birrong,119011361
Bankstown - North,119011571
Bankstown - South,119011572
Greenacre - North,119011655
Greenacre - South,119011656
Panania (North) - Milperra,119011657
Panania (South) - Picnic Point,119011658
Belmore - Belfield,119021362
Punchbowl,119021366
Roselands,119021367
Lakemba,119021573
Wiley Park,119021574
Campsie - North,119021659
Campsie - South,119021660
Canterbury - South,119021661
Earlwood,119021662
Kingsgrove - North,119021663
Narwee - Beverly Hills,119031370
Oatley - Hurstville Grove,119031371
Peakhurst - Lugarno,119031372
Riverwood,119031373
South Hurstville - Blakehurst,119031374
Hurstville - Central,119031664
Hurstville - North,119031665
Mortdale - Oatley,119031666
Penshurst,119031667
Kingsgrove (South) - Bardwell Park,119041377
Kogarah,119041378
Kogarah Bay - Carlton - Allawah,119041379
Monterey - Brighton-le-Sands - Kyeemagh,119041380
Rockdale - Banksia,119041381
Sans Souci - Ramsgate,119041382
Arncliffe - Bardwell Valley,119041668
Bexley - North,119041669
Bexley - South,119041670
Wolli Creek,119041671
