sa2_code21,sa2_name21,poi_count
125011582,Auburn - Central,305.0
125011583,Auburn - North,30.0
125011584,Auburn - South,85.0
125011585,Berala,27.0
125011586,Lidcombe,145.0
125011587,Regents Park,10.0
125011709,Silverwater - Newington,77.0
125011710,Wentworth Point - Sydney Olympic Park,221.0
125021477,Ermington - Rydalmere,278.0
125021478,Oatlands - Dundas Valley,116.0
125021711,Carlingford - East,124.0
125021712,Carlingford - West,48.0
125031479,Chester Hill - Sefton,296.0
125031480,Fairfield - East,205.0
125031481,Granville - Clyde,174.0
125031483,Guildford - South Granville,13.0
125031484,Guildford West - Merrylands West,100.0
125031713,Greystanes - South,146.0
125031714,Merrylands - Holroyd,81.0
125031715,Pemulwuy - Greystanes (North),128.0
125031716,South Wentworthville,11.0
125041489,North Parramatta,140.0
125041490,North Rocks,62.0
125041491,Northmead,138.0
125041493,Toongabbie - Constitution Hill,64.0
125041494,Winston Hills,29.0
125041588,Pendle Hill - Girraween,26.0
125041589,Wentworthville - Westmead,0.0
125041717,Parramatta - North,0.0
125041718,Parramatta - South,0.0
125041719,Rosehill - Harris Park,0.0
